x,Real Part,Imaginary Part
0,1.0,0.0
1/8,0.992199559702835,0.12467497114513422
1/4,0.9689161178444596,0.24740490295233167
3/8,0.9305129463775064,0.36627462481193956
1/2,0.8775892574139261,0.479429196208517
5/8,0.8109708536026037,0.5851028527321357
3/4,0.7316972425950209,0.6816465606341472
7/8,0.6410054166603159,0.7675537499416611
1,0.5403105505511816,0.8414838245663758
9/8,0.43118391881276863,0.9022830825311959
5/4,0.3153283771176525,0.9490027198509972
11/8,0.19455179022386732,0.9809136371113376
3/2,0.07073882119679475,0.9975178176807706
13/8,-0.05417847789075003,0.9985560999901446
7/4,-0.1782508148616409,0.984012222581085
15/8,-0.29954207547914785,0.9541130787876888
2,-0.41615953596993416,0.9093251770627448
17/8,-0.5262833985673466,0.8503473621695339
9/4,-0.6281951891792605,0.7780999108085316
19/8,-0.7203045740391867,0.6937101718246039
5/2,-0.8011741768689378,0.5984949750617061
21/8,-0.8695420092809674,0.49394008335722267
11/4,-0.9243411643916811,0.38167700831003126
23/8,-0.9647164663224461,0.26345755159511564
3,-0.9900378157662948,0.1411264690910739
25/8,-0.9999100233542185,0.016592684381324718
13/4,-0.994178977360969,-0.10820049917197905
27/8,-0.9729340494912128,-0.23130572295364252
7/2,-0.9365067011901278,-0.35080196101778566
29/8,-0.8854653122120504,-0.464824497212842
15/4,-0.820606312131367,-0.571594023723728
31/8,-0.7429417531716226,-0.669444406953948
4,-0.6536835182614813,-0.7568486874644202
33/8,-0.5542244107331826,-0.8324429082411664
17/4,-0.44611642074108787,-0.8950473994507213
35/8,-0.33104650753546605,-0.9436851875314388
9/2,-0.21081027549227793,-0.9775972413414626
37/8,-0.08728395466846178,-0.9962543174398029
19/4,0.03760487688885278,-0.9993652196455445
39/8,0.1619073722145581,-0.9868813439736022
5,0.2836838265075077,-0.9589974380105157
41/8,0.4010339456677833,-0.9161485628660158
21/4,0.5121264999574419,-0.8590033050936957
43/8,0.6152279000460592,-0.7884533444923922
11/2,0.7087292495164734,-0.7055995405656554
45/8,0.7911714516788088,-0.611734754742587
23/4,0.8612679789011746,-0.5083236764016072
47/8,0.9179249491396548,-0.39697996749446895
6,0.960258196369182,-0.27944108241147264
49/8,0.9876070685249563,-0.15754115600734037
25/4,0.9995447376292554,-0.03318238285447922
51/8,0.9958848612039422,0.0916946656640929
13/2,0.9766844910054368,0.21514132323348928
53/8,0.9422431836779206,0.3352312369201562
27/4,0.8930983271882621,0.4500904274075599
55/8,0.8300167559577935,0.557926532072206
7,0.7539827855200911,0.6570567745675884
57/8,0.6661828534066224,0.7459342244543714
29/4,0.5679870059216123,0.8231719370967568
59/8,0.460927519687333,0.8875645971212202
15/2,0.3466749915531608,0.9381073276885155
61/8,0.2270122699684255,0.9740113720551781
31/4,0.10380663460380102,0.9947164027066067
63/8,-0.021019341656913493,0.9998992659685855
8,-0.14551779366990736,0.989479025626653
65/8,-0.26774595977692855,0.963618226835056
33/4,-0.3857964980284675,0.9227203605779544
67/8,-0.4978272498088254,0.8674235682346945
17/2,-0.6020899864086597,0.7985906844731491
69/8,-0.696957689959621,0.7172957738347703
35/4,-0.7809499430148176,0.6248073710904682
71/8,-0.8527560305712274,0.5225686868838817
9,-0.9112553940253079,0.4121750875353692
73/8,-0.9555351178739593,0.2953492004171176
37/4,-0.9849041762748816,0.17391403336335026
75/8,-0.9989042171407305,0.04976452757146721
19/2,-0.9973167154713619,-0.07516201210354415
77/8,-0.9801663842847432,-0.19891614803946775
39/4,-0.9477207899057201,-0.3195667301806746
79/8,-0.9004861776014579,-0.4352310311160795
