power,10^x,(10^x-1)/x,x
1,10.0,9.0,1
2,3.1622776601683795,4.324555320336759,1/2
4,1.7782794100389228,3.113117640155691,1/4
8,1.333521432163324,2.6681714573065918,1/8
16,1.1547819846894583,2.476511755031332,1/16
32,1.0746078283213174,2.387450506282157,1/32
64,1.036632928437698,2.3445074200126754,1/64
128,1.018151721718182,2.323420379927285,1/128
256,1.0090350448414473,2.312971479410521,1/256
512,1.0045073642544624,2.3077704982847536,1/512
1024,1.0022511482929128,2.3051758519427494,1/1024
2048,1.00112494139988,2.3038799869541435,1/2048
4096,1.0005623126022087,2.303232418646985,1/4096
8192,1.00028111678778,2.3029087254944898,1/8192
16384,1.0001405485169472,2.3027469016633404,1/16384
32768,1.0000702717894114,2.3026659954339266,1/32768
65536,1.000035135277462,2.3026255437434884,1/65536
131072,1.0000175674844227,2.302605318254791,1/131072
262144,1.0000087837036347,2.30259520560503,1/262144
524288,1.0000043918421733,2.302590149338357,1/524288
