name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
"Rasik Balamaa Hay Dil Kyon Lagayaa Tose, From ''Chori Chori''",0.391,0.437,8,-7.545,1,0.0372,0.961,0.111,0.685,0.418,103.784,spotify:track:3Y0KlgsBRdRgL3ui2TcCvB
"Wada Na Tod - From ""Dil Tujhko Diya""",0.444,0.734,5,-4.415,1,0.113,0.466,0.00356,0.426,0.881,165.11,spotify:track:73YTvBoUG34tDnztcdd3iF
"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",0.544,0.413,6,-7.188,1,0.0258,0.928,0.00209,0.128,0.35,99.789,spotify:track:1obzxoRduT5n3fAKsf0Pgi
"Man Kyoon Behka Re Behka Aadhi Raat Ko (From ""Utsav"")",0.58,0.469,10,-7.557,1,0.0577,0.936,0.00729,0.143,0.316,79.696,spotify:track:0hHFroswxwaxNPy9wwk6GL
"Ye Mulaqat Ek Bahana Hai - From ""Khandaan""",0.5,0.674,6,-4.115,0,0.0401,0.667,0.000339,0.216,0.687,116.829,spotify:track:2jrAx3ZU9UXe46PepPZuWF
Lag Ja Gale Se Phir,0.312,0.452,8,-11.872,1,0.0391,0.796,0.000874,0.286,0.391,132.485,spotify:track:5Y5c5bJK0O7KJDDAYKkppH
Chandni Raat Mein,0.368,0.534,6,-8.811,1,0.0355,0.736,0,0.239,0.494,107.901,spotify:track:1ZDbxtijCU6KlrkTMqTfDE
Aaj Phir Jeene Ki Tamanna Hai,0.432,0.497,9,-10.732,0,0.0345,0.983,0.907,0.101,0.783,97.491,spotify:track:5SOz11mekUwr7kQm8dpHqs
Aajkal Paon Zaamin Par Nahin Padte,0.507,0.445,1,-9.112,1,0.0317,0.873,0.00141,0.128,0.691,107.826,spotify:track:4GQ2SQDXKdBDE8TAQ69jS1
Aaja Piya Tohe Pyar Doon,0.613,0.29,7,-6.897,1,0.0542,0.978,6.34e-05,0.0991,0.583,110.37,spotify:track:2njC2umOngBCOj14iHR8K8
Bhor Bhaye Panghat Pe,0.368,0.381,9,-11.814,0,0.103,0.9,3.49e-06,0.0764,0.481,198.521,spotify:track:2zIZUisgDGXPD3pvORaMi4
Sawan Ke Jhoole Pade - Sad,0.228,0.309,4,-7.198,1,0.0322,0.964,0.000182,0.105,0.355,180.129,spotify:track:1YsRE4fuzVsVKfGvdNCB8F
Teri Bindiya Re,0.539,0.378,0,-10.629,1,0.0284,0.979,0.018,0.0878,0.681,94.29,spotify:track:70KrzTE7kTQ41eGHI3JON1
Tera Mera Pyar Amar - Lata Mangeshkar,0.284,0.369,6,-15.825,1,0.0393,0.951,0.000837,0.194,0.711,147.85,spotify:track:0Sm3rEToKnYX3vIjDzrQmn
Zindagi Pyar Ka Geet Hai,0.503,0.601,11,-8.753,0,0.0351,0.537,0.000198,0.149,0.808,96.507,spotify:track:5he6mJa7T7DiS8Pjx6djcV
Main Tere Ishq Mein,0.419,0.657,2,-8.559,0,0.063,0.784,0.00168,0.0894,0.607,83.769,spotify:track:1wHja2c6BNGxMDiNVkO1C5
Mujhe Teri Mohabbat Ka Sahara,0.271,0.465,5,-11.978,0,0.0484,0.858,0.0469,0.18,0.473,80.953,spotify:track:2CDCpj1lFBsf8ruoi8KNWb
Sau Saal Pahle,0.426,0.649,8,-8.368,1,0.0613,0.918,0.00193,0.376,0.753,153.949,spotify:track:2lx6HFF0cVPP4Z4jnbBLN9
Jhilmil Sitaron Ka Angan Hoga,0.354,0.616,7,-11.288,1,0.0888,0.81,0.425,0.657,0.599,143.769,spotify:track:7GUTUoxLRI03fjSNdNTpnv
Loote Koi Man Ka Nagar,0.459,0.611,7,-5.07,1,0.0441,0.869,0,0.28,0.425,133.037,spotify:track:6PrR5HyA5bTZZLWQmYhvoL
Chup Gaye Sare Nazare,0.395,0.547,3,-9.1,0,0.0931,0.956,0.0395,0.119,0.588,80.219,spotify:track:6DuEwqeZzkPJlczCKPq1VD
Rahen Na Rahen,0.39,0.459,7,-9.937,1,0.0337,0.976,0.00567,0.456,0.636,127.016,spotify:track:5rmxrHEnOf7CRCmCJrBdZt
Tera Saath Hai To - Lata Mangeshkar,0.432,0.475,7,-9.47,1,0.0371,0.968,0.0116,0.312,0.664,115.955,spotify:track:7e7KvikCdIigjhIbTScNqs
Nainon Mein Badra Chhaye,0.574,0.442,0,-13.177,1,0.0356,0.968,0.152,0.296,0.696,110.798,spotify:track:6YRgNx6ZouPzJcS5mSOBI5
Beeti Na Bitai Raina,0.365,0.424,4,-11.445,1,0.0437,0.952,0.168,0.67,0.601,91.015,spotify:track:26XEm7cqIT1uwPkPY36L23
Rula Ke Gaya,0.476,0.255,5,-10.17,1,0.0362,0.96,0.000868,0.106,0.308,99.901,spotify:track:3JmLCYFRsOjYFcL8WFz2Uh
Ruk Ja Raat,0.394,0.304,2,-13.064,1,0.0362,0.949,1.19e-05,0.368,0.563,102.536,spotify:track:5wKCGoekRSLzEZOckWK542
Ehsan Tera Hoga Mujh Par - Lata Mangeshkar,0.348,0.21,4,-14.732,1,0.0444,0.986,0.00524,0.101,0.401,175.715,spotify:track:5kfrsmxW4UkaQKA1lcnyrJ
Chalo Sajna Jhahan Tak,0.368,0.504,9,-11.743,1,0.0542,0.917,0.00409,0.196,0.534,152.992,spotify:track:2aDHuYwy5GtEttdFdx6ChT
Tumhin Meri Mandir,0.495,0.404,4,-6.404,0,0.0409,0.989,0.0355,0.373,0.533,123.6,spotify:track:2J86dHEpicClzRxVSN8sDM
Ae Ri Pawan,0.371,0.615,9,-7.837,1,0.0481,0.831,5.71e-05,0.148,0.483,88.164,spotify:track:6B5XizQf2ma0vd26l6vHJK
Mausam Hai Ashiqana,0.341,0.614,10,-7.539,1,0.0494,0.53,2.41e-05,0.19,0.631,123.519,spotify:track:5VSjFOxCv36pbWZ7pAU97v
Ab To Hai Tumse Har Khushi Apni,0.279,0.427,8,-10.274,1,0.0313,0.948,0.0076,0.0976,0.288,105.679,spotify:track:241wE0Nygl6w8UfwKRRjwQ
Karvaten Badalte Rahe,0.255,0.397,10,-12.411,1,0.0352,0.882,5.8e-06,0.128,0.595,81.232,spotify:track:7yJVavhTsIrjM1KleXlpHR
Chalte Chalte Yun Hi Koi,0.447,0.427,8,-12.527,1,0.0667,0.904,6.72e-05,0.333,0.575,124.155,spotify:track:2rCtv5d2xyezYUbwRqBDod
Bahon Mein Chale Aao,0.482,0.211,6,-16.491,1,0.0353,0.8,1.48e-06,0.159,0.612,72.754,spotify:track:2IWhu2HrHttIUcw0Omn1Gr
Kabhi Kabhi Mere Dil Mein Duet,0.502,0.315,4,-10.438,1,0.0318,0.979,5.7e-05,0.626,0.397,110.618,spotify:track:46bHffIYlRKDZJG1Wbv8vi
Mere Naina Sawan Bhadon- Lata Mangeshkar,0.397,0.407,7,-7.638,0,0.0297,0.957,0.00337,0.124,0.305,133.616,spotify:track:2MAt5PQbVRWHE8WZZ1rLfR
Is Mod Se Jate Hain,0.504,0.353,1,-12.566,1,0.0342,0.865,0,0.268,0.531,89.487,spotify:track:6l0fKiA4dyGnb5HyeXC8it
Ye Samaa Samaa Hai Pyar Ka,0.425,0.449,5,-8.754,1,0.0655,0.988,0.0684,0.0997,0.395,126.553,spotify:track:07zLH6nppZLg7frRqQ72z0
Aaja Sanam Madhur Chandni Men,0.32,0.439,3,-11.324,0,0.0422,0.95,0.0426,0.104,0.796,81.706,spotify:track:5K0YR5W8FNgzjceUwgNlPv
Aaja Re Pardesi,0.451,0.319,7,-13.117,1,0.041,0.968,0.64,0.149,0.477,91.255,spotify:track:0nNQ0mESS2kCSaW5Li4hip
Ab Ke Sajan Sawan Mein,0.415,0.571,0,-6.918,1,0.0454,0.84,0.00541,0.0619,0.871,99.744,spotify:track:5JJRMBBAMf870VqcrB39gv
Aye-Dil-E-Nadan,0.605,0.344,6,-11.941,1,0.0326,0.794,2.98e-06,0.083,0.407,101.024,spotify:track:0EG3HTklKQCIpM2IlGpOQ1
Agar Tum Na Hote - Female Version,0.618,0.613,11,-5.248,0,0.037,0.719,0.00112,0.127,0.783,122.607,spotify:track:6bd3RszjfhMqkVH0zIUFSo
Ajib Dastan Hai Yeh,0.566,0.412,5,-12.63,1,0.0309,0.875,0.00314,0.204,0.68,102.478,spotify:track:6Rl4eDKFpvntiRKtPn8d5V
Aya Sawan Jhoom Ke,0.446,0.725,1,-5.565,1,0.0748,0.799,0.155,0.433,0.672,91.658,spotify:track:4Ii5cW2AlVi0d0JnTjNcy3
Baharon Mera Jeevan Bhi Sanwaro,0.351,0.284,6,-12.03,1,0.036,0.967,0.00394,0.143,0.561,143.104,spotify:track:6U9gOM5FxakKVhCF2PtrHl
Bana Ke Kyon Bigada Re,0.385,0.484,0,-8.546,1,0.0321,0.9,9.59e-06,0.568,0.607,85.708,spotify:track:3HTAYqwM363zEPSPwa10ap
Bekhudi Mein Sanam,0.429,0.566,4,-7.392,0,0.0635,0.913,0.00389,0.0722,0.263,83.626,spotify:track:4CNUwJcKDYePzsAKwLGFBE
Betaab Dil Ki Tamanna Yehi Hai,0.517,0.289,7,-11.493,1,0.0382,0.885,0,0.289,0.469,128.068,spotify:track:0w2ULErs3UppVefsB98TpT
Chand Phir Nikla Magar Tum Na Aaye,0.421,0.269,1,-10.045,1,0.0292,0.967,0.000264,0.17,0.412,105.544,spotify:track:174kToGxCBRCsXt6l6DWmp
Chandan Sa Badan Chanchal Chitwan,0.401,0.424,7,-10.1,0,0.0404,0.942,0.000874,0.666,0.583,175.969,spotify:track:5ObKxvhcb6RhziBKHubY6G
Dekha Ek Khwab,0.367,0.299,4,-14.557,1,0.0597,0.941,0.00402,0.423,0.383,147.363,spotify:track:5B29YNjG7dx0GfU19ZBEpo
Dekho Rootha Na Karo,0.404,0.388,4,-10.082,1,0.0375,0.989,0.403,0.124,0.702,93.791,spotify:track:3TvXVGblUNFZquVw9p4Kxj
Dheere Dheere Chal Chand,0.406,0.521,6,-11.856,1,0.0378,0.916,1.09e-05,0.362,0.686,81.999,spotify:track:2w1xQoej5TcciLKzx3DNzS
Dhire Dhire Machal,0.403,0.494,3,-9.077,1,0.0314,0.956,0.00285,0.154,0.646,100.358,spotify:track:70vSg23ZpLROoj7xxzDBk2
