name,uri,Number of Songs
Temp,spotify:playlist:4o0gFCTAKyk8zzZi9GziZy,22
Best of Asha,spotify:playlist:0iMWiEMMRTRoOlFrjnYEua,5
Best of Both,spotify:playlist:7xApWsDKVSrioewq5JWZWk,14
Best of Anuradha,spotify:playlist:5OI1wdUcSUaGl2Hdx4MIyz,1
Hemlata,spotify:playlist:1MIezbpQmL5TF7bZsL0g3E,1
Best of Mukesh,spotify:playlist:7nI5xtwzTNLbPeNxL0IegX,18
Best of Kishor Kumar,spotify:playlist:70uEMIcRgCdsVNa9Xyv9ue,15
Best of Rafi,spotify:playlist:4OCMo5AQJJE87EWhftAtKI,22
Best of Adele,spotify:playlist:6cy0CUfpYMa9H0LSGqHb7y,16
Best of Britney,spotify:playlist:5mca7BpDj5eeLgCej7uRmt,6
Best of Camila,spotify:playlist:2QL9AvArtIkBGMpDbVaYzp,9
Best of Gaga,spotify:playlist:5cAv2gpp3CQfkqnFA5iCtu,5
Workout 1.0,spotify:playlist:5bu8qztPRFVz4F6yzJu3Sw,8
Best of the Decade For You,spotify:playlist:37i9dQZF1DXaMu9xyX1HzK,100
Fearless_Bests,spotify:playlist:4YGCEez3Iw4Sdbvpwg45RV,15
Bests_Justice,spotify:playlist:4HSgJO9g03Zigs7GmdS52U,1
Mixed_1,spotify:playlist:5G9PUEcyO5E58q0XgFty34,38
Best of Harry Styles,spotify:playlist:3W3By67rdj09McND8AkCPb,2
Best of Maren Morris,spotify:playlist:5UFII9dXpKPPS71P8WyTOS,6
Best of Dua Lipa,spotify:playlist:5xkIvjyl2BNqYDMUr4tPNl,2
Sing Along,spotify:playlist:3u88VnmWtKBxNhHG5whp79,11
Best of Justin,spotify:playlist:1YcNg5GMJqKgyHmYLdyhgr,14
Best of Alan Walkar,spotify:playlist:4N0jY8NX9hiSi7hFrEGIx8,12
Best of Lata Mangeshkar,spotify:playlist:1QWtxo3TdZcwbem10bG4QL,112
Best of Shawn Mendes,spotify:playlist:65LNcgXjqJCdTp7b5jXMFl,14
Bests of ‘Let's Talk About Love’,spotify:playlist:69vjS93hwPBn1QNoA1Otxk,7
Bests of ‘A New Day Has Come’,spotify:playlist:5UJqS1R4mOZfXWr3vPNEHD,7
Mixed All,spotify:playlist:403ZV5uDAgcgAoYjHrhTvn,74
Taylor_Swift_Bests,spotify:playlist:170yalivovVyndHtzFGtF1,6
Best of Taylor Swift,spotify:playlist:50ee97BfyCWnqAxbl5QES1,40
Best of Ed Sheeran,spotify:playlist:3kLdeHixA5QGFKnAu7NTwm,11
The Little Mermaid,spotify:playlist:177VPDuAQcEv4Ds65vUIgw,4
Beauty and the Beast,spotify:playlist:6j4UTZ9c0yQD2McKN0Tcq7,5
Best from Disney,spotify:playlist:1nD2hXgoWNKICXxGkhkbhT,15
Hercules,spotify:playlist:2oPea2EJBOHtyQBxDnZrik,4
Best Of Celine Dion,spotify:playlist:6Jn2QyqF9nQKl1HmxKfFum,14
Tarzan,spotify:playlist:5wH3YJQIQW6Bjt3K4QjUSC,6
Frozen,spotify:playlist:6Bab8pyug8KeSkpJKNOSzR,10
Aladdin,spotify:playlist:1szjmmuZVa2Pe5rOUc3rSF,5
Reputation_Bests,spotify:playlist:0fZIeAR44knNMxtKiue6Uu,2
Speak_Now_Bests,spotify:playlist:0dc98s4abFbCj6F8tlyWZk,6
1989_Bests,spotify:playlist:3LB8QiVoyJD2GFXYbYXOzn,6
Folklore_Bests,spotify:playlist:6082EkDCOUpQFc9lp22ztr,11
Lover_Bests,spotify:playlist:6kAusgd4WeDhhxdU11CnG8,9
Red_Bests,spotify:playlist:56D3TECYmvj59U80DiIhoP,11
Evermore_Bests,spotify:playlist:2FbrV0VTE3tDiGwXacWk3s,7
