artistName,Minutes Played
Taylor Swift,19419.440000000355
Céline Dion,5279.17000000003
Ed Sheeran,3249.9700000000066
Shawn Mendes,2140.8599999999956
Alan Walker,2026.549999999993
Lady Gaga,1183.3899999999994
Maren Morris,1130.4399999999946
Camila Cabello,1067.499999999999
Dua Lipa,819.9199999999964
Christina Perri,666.2499999999997
Justin Bieber,565.6600000000001
Miranda Lambert,550.3600000000007
Lea Salonga,435.51000000000073
Mandy Moore,363.68000000000046
Harry Styles,320.0499999999997
Selena Gomez,291.6500000000005
Britney Spears,237.19000000000023
Idina Menzel,193.5099999999999
Tape Machines,191.48000000000005
Billie Eilish,178.98999999999992
Lata Mangeshkar,141.76999999999998
Susan Egan,109.68000000000009
Peabo Bryson,54.849999999999994
Phil Collins,20.17
Adele,18.76
Roger Bart,14.290000000000001
DJ Snake,13.700000000000001
Naomi Scott,11.83
Evan Rachel Wood,11.45
Kishore Kumar,10.77
Auli'i Cravalho,10.32
