artistName,trackName,Minutes Played
Taylor Swift,exile (feat. Bon Iver),0.71
Taylor Swift,willow - dancing witch version (Elvira remix),0.0
Taylor Swift,willow,0.33
Taylor Swift,tolerate it,4.09
Taylor Swift,happiness,0.02
Taylor Swift,tolerate it,4.09
Taylor Swift,cardigan,0.78
Taylor Swift,the 1,0.59
Taylor Swift,tolerate it,1.0
Taylor Swift,willow - lonely witch version,0.49
Taylor Swift,dorothea,0.0
Taylor Swift,happiness,0.74
Taylor Swift,happiness,2.2
Taylor Swift,Tim McGraw,3.91
Taylor Swift,Picture To Burn,0.0
Taylor Swift,Picture To Burn,0.25
Taylor Swift,Tim McGraw,0.03
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.41
Taylor Swift,Cold As You,0.43
Taylor Swift,A Place in this World,3.32
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",4.67
Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",3.98
Taylor Swift,the 1,0.07
Taylor Swift,willow,3.29
Taylor Swift,evermore (feat. Bon Iver),1.98
Taylor Swift,All Too Well,0.12
Taylor Swift,Red,3.72
Taylor Swift,happiness,0.38
Taylor Swift,coney island (feat. The National),4.59
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,cardigan,3.99
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.19
Taylor Swift,Daylight,0.0
Taylor Swift,the 1,3.09
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,You Need To Calm Down,2.86
Taylor Swift,Death By A Thousand Cuts,0.69
Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",1.36
Christophe Beck,Introduction,0.99
Taylor Swift,mad woman,0.16
Taylor Swift,Enchanted,5.87
Idina Menzel,Baby It's Cold Outside (duet with Michael Bublé),0.57
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.5
Taylor Swift,Picture To Burn,0.86
Taylor Swift,A Place in this World,0.35
Taylor Swift,Enchanted,5.87
Taylor Swift,Red,3.72
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,willow,3.58
Taylor Swift,the 1,3.5
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,this is me trying,3.25
Taylor Swift,cardigan,3.99
Taylor Swift,mad woman,3.95
Taylor Swift,tolerate it,4.09
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,You Belong With Me,3.85
Taylor Swift,peace,3.9
Lorde,Liability,0.43
Taylor Swift,Enchanted,0.98
Taylor Swift,Enchanted,5.87
Taylor Swift,Red,3.72
Taylor Swift,willow,2.08
Taylor Swift,willow,1.49
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,this is me trying,3.25
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,cardigan,3.99
Taylor Swift,mad woman,0.33
Taylor Swift,the 1,3.5
Céline Dion,The Power of Love,5.71
Taylor Swift,evermore (feat. Bon Iver),1.64
Céline Dion,Unison,1.46
Céline Dion,I Feel Too Much,0.81
Céline Dion,(If There Was) Any Other Way,1.15
Susan Egan,I Won't Say (I'm In Love),0.45
Michael Bolton,Go the Distance,0.4
Roger Bart,Go the Distance,1.36
Mandy Moore,I See the Light,1.08
Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",2.75
Taylor Swift,Enchanted,1.96
Taylor Swift,Enchanted,3.2
Taylor Swift,You Belong With Me,1.47
Taylor Swift,Enchanted,0.7
Taylor Swift,Enchanted,0.09
Taylor Swift,Enchanted,0.06
Taylor Swift,Enchanted,1.5
Taylor Swift,Enchanted,2.98
Taylor Swift,willow,3.58
Taylor Swift,the 1,3.5
Taylor Swift,cardigan,3.99
Taylor Swift,Red,3.72
Taylor Swift,peace,1.39
Taylor Swift,mad woman,3.95
Taylor Swift,You Belong With Me,1.34
Taylor Swift,You Belong With Me,0.25
Taylor Swift,You Belong With Me,0.42
Taylor Swift,You Belong With Me,0.38
Taylor Swift,peace,0.1
Taylor Swift,You Belong With Me,0.15
Taylor Swift,You Belong With Me,1.06
Taylor Swift,Red,0.92
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.09
Taylor Swift,peace,0.2
Taylor Swift,peace,0.01
Taylor Swift,cardigan,1.47
Taylor Swift,cardigan,1.18
Taylor Swift,this is me trying,2.52
Taylor Swift,mad woman,0.01
Taylor Swift,the 1,0.02
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.59
Peabo Bryson,"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",0.0
