Song,Minutes Played
willow,1257.9167833333372
evermore (feat. Bon Iver),1190.7881500000044
exile (feat. Bon Iver),1124.1724166666681
august,1068.3973333333317
Enchanted,1019.1157833333334
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),995.2785833333363
Let's Talk About Love,901.2877000000024
Untouchable (Taylor’s Version),856.4512999999979
Afterglow,832.938300000004
Delicate,831.2379000000029
champagne problems,827.6033000000033
Perfect,790.8968999999981
Shape of You,785.9765333333356
The Bones - with Hozier,745.7047000000028
Where Were You In The Morning?,694.0272333333329
Darkside,683.2028833333352
A Thousand Years,666.4996999999996
I'm Alive,631.5307666666672
All Too Well,630.9221333333326
"My Heart Will Go On - Love Theme from ""Titanic""",619.6294166666669
Señorita,595.5063499999991
Faded,588.3685833333343
The Power of Love,574.6151166666664
Levitating,572.3820333333355
Lover,564.8651999999988
Red,546.9878166666657
Right In Front of You,544.0216333333337
cardigan,538.2931666666658
Blank Space,527.2168833333333
Fearless,489.58628333333456
Shallow - Radio Edit,488.09720000000095
Anyone,482.2098833333324
Our Song,465.78741666666633
Teardrops On My Guitar - Radio Single Remix,456.91008333333355
There's Nothing Holdin' Me Back,448.0118666666677
I Surrender,446.93709999999953
Don't Go Yet,445.1481499999996
tolerate it,440.76116666666644
A Whole New World,435.51445000000075
Settling Down,424.10133333333374
Tim McGraw,412.6842666666663
Love Story,410.6210833333336
Tenerife Sea,399.88919999999945
Style,396.88926666666725
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),392.6852166666673
Always Remember Us This Way,392.2749499999997
It's All Coming Back to Me Now,387.80568333333326
The Bones,367.656666666666
"I See the Light - From ""Tangled"" / Soundtrack Version",361.73046666666636
You Belong With Me,337.2108000000001
Mercy,325.5573333333331
Watermelon Sugar,306.42861666666664
mad woman,302.86144999999965
this is me trying,287.8667333333338
Wolves,285.6723499999998
betty,281.96223333333324
hoax,281.0606500000005
Where Does My Heart Beat Now,278.65038333333325
"Because You Loved Me (Theme from ""Up Close and Personal"")",269.56963333333357
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",259.7489333333332
I Think He Knows,256.3784500000003
ME! (feat. Brendon Urie of Panic! At The Disco),248.7628333333335
invisible string,247.10956666666655
Don't Start Now,242.5829000000001
the 1,227.37565000000012
Shameless,204.73664999999986
Bad Habits,204.6080833333334
We Were Happy (Taylor’s Version) (From The Vault),201.36120000000017
Lost You,189.54774999999987
Living Proof,173.04543333333345
Fake A Smile,166.48488333333339
"Let It Go - From ""Frozen""/Soundtrack Version",152.78050000000002
Alone,151.47343333333336
my tears ricochet,150.63516666666663
Criminal,141.7855166666667
How Does A Moment Last Forever,135.01775000000006
Fearless (Taylor’s Version),131.32931666666667
"Million To One - from the Amazon Original Movie ""Cinderella""",123.15585000000004
Bluebird,121.3867666666666
You Belong With Me (Taylor’s Version),119.97471666666674
Love Story (Taylor’s Version),117.24693333333336
I'll Never Love Again - Extended Version,115.67769999999997
I Won't Say (I'm In Love),109.6292666666666
Thinking out Loud,98.68153333333335
Jump Then Fall (Taylor’s Version),97.06936666666664
Rain On Me (with Ariana Grande),95.7960833333333
On My Way,88.77818333333336
Mean,84.50005000000003
Sing Me to Sleep,82.31016666666666
The Spectre,79.05776666666664
Havana (feat. Young Thug),76.50605000000002
Immortality (feat. Bee Gees),64.17488333333334
White Horse (Taylor’s Version),63.845699999999994
All By Myself,59.76358333333334
"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",54.879000000000005
Your Power,49.444250000000004
Forever & Always (Taylor’s Version),48.789833333333334
peace,48.566266666666664
Lily,48.102633333333344
"Alone, Pt. II",47.68435000000001
Happier Than Ever,46.606550000000006
Sorry,46.01161666666666
Oops!...I Did It Again,45.43121666666667
Getaway Car,37.38756666666667
Falling Into You,34.77823333333334
This Is Why We Can't Have Nice Things,32.77858333333333
Shallow,30.838183333333333
Mistletoe,29.884633333333326
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),29.49415
Toxic,28.177833333333332
Treat You Better,27.143383333333333
Autumn Leaves - Deluxe Edition,26.74425
The A Team,25.64836666666667
I'll Never Love - Extended Version - Radio Edit,24.535283333333332
Into the Unknown,22.78076666666667
I Knew You Were Trouble.,22.373216666666664
Lego House,22.0223
We Are Never Ever Getting Back Together,20.79245
Shake It Off,19.443466666666666
Show Yourself,17.393733333333333
Hey Stephen (Taylor’s Version),17.335116666666668
You'll Be In My Heart,17.30875
One,16.688666666666666
Bad Romance,16.587716666666665
Sweet Dreams,16.33678333333333
Tired,16.054283333333334
Lag Ja Gale Se Phir,15.421249999999999
...Baby One More Time,15.214200000000002
Bhor Bhaye Panghat Pe,14.96065
Go the Distance,14.693933333333334
Real Friends,14.536216666666666
Breathe (feat. Colbie Caillat) (Taylor’s Version),14.452566666666668
Let Me Love You,13.6961
Rahen Na Rahen,13.28865
Dancing With Our Hands Tied,12.524799999999999
Speechless (Full),11.837683333333333
All Is Found,11.454466666666669
Bye Bye Baby (Taylor’s Version) (From The Vault),11.067683333333333
Chup Gaye Sare Nazare,10.9758
Photograph,10.844783333333334
Oxytocin,10.5116
How Far I'll Go,10.32685
Begin Again,10.16925
coney island (feat. The National),10.05315
Fallin' All In You,9.800066666666666
happiness,9.535433333333334
I'll Never Love Again - Film Version - Radio Edit,9.3745
Lover (Remix) [feat. Shawn Mendes],9.238
Kabhi Kabhi Mere Dil Mein Duet,9.126766666666667
"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",9.094916666666666
Never Be the Same,8.714633333333333
I Almost Do,8.547583333333332
Getting Older,8.500233333333334
Renegade (feat. Taylor Swift),8.4822
Bahon Mein Chale Aao,8.055533333333333
Poker Face,7.906666666666666
Fifteen (Taylor’s Version),7.645516666666667
Someone Like You,7.576099999999999
You Need To Calm Down,7.5088
Tera Saath Hai To - Lata Mangeshkar,7.360916666666666
Adore You,7.279716666666667
Ehsan Tera Hoga Mujh Par - Lata Mangeshkar,7.100316666666666
Don’t You (Taylor’s Version) (From The Vault),6.9536
Don't You Hold Me Down,6.867616666666667
Mere Naina Sawan Bhadon- Lata Mangeshkar,6.8571333333333335
Lost Cause,6.755833333333333
Two Worlds,6.6155333333333335
Invisible,6.350383333333333
Forever & Always,5.891783333333333
A New Day Has Come,5.8263
Tumhin Meri Mandir,5.821616666666666
Love Is On the Way,5.598316666666666
Wonder,5.598116666666666
Zindagi Pyar Ka Geet Hai,5.56345
gold rush,5.556266666666668
Hello,5.5174666666666665
Chandni Raat Mein,5.489216666666667
What Do You Mean?,5.434666666666667
Baby,5.434233333333333
"Some Things Never Change - From ""Frozen 2""/Soundtrack Version",5.3585
Shivers,5.330816666666666
Chalte Chalte Yun Hi Koi,5.322983333333333
Untouchable,5.184
Karvaten Badalte Rahe,5.1802166666666665
bad guy,5.1640999999999995
Loote Koi Man Ka Nagar,5.123483333333333
GOLDWING,5.0512
"Touch The Sky - From ""Brave""/Soundtrack",5.046666666666667
Chalo Sajna Jhahan Tak,4.940216666666666
Come In With The Rain (Taylor’s Version),4.931233333333333
Mujhe Teri Mohabbat Ka Sahara,4.9169833333333335
Saagar Jaisi Aankhonwali - Saagar / Soundtrack Version,4.9085
NDA,4.645766666666667
Monster (Shawn Mendes & Justin Bieber),4.6309000000000005
