Artist,Song,Minutes Played,Date
Taylor Swift,exile (feat. Bon Iver),0.7085333333333333,06 Jan 2021
Taylor Swift,willow - dancing witch version (Elvira remix),0.004183333333333333,06 Jan 2021
Taylor Swift,willow,0.32666666666666666,06 Jan 2021
Taylor Swift,tolerate it,4.0906666666666665,06 Jan 2021
Taylor Swift,happiness,0.016733333333333333,06 Jan 2021
Taylor Swift,tolerate it,4.0906666666666665,06 Jan 2021
Taylor Swift,cardigan,0.7846,06 Jan 2021
Taylor Swift,the 1,0.5905,06 Jan 2021
Taylor Swift,tolerate it,1.0000333333333333,06 Jan 2021
Taylor Swift,willow - lonely witch version,0.4945833333333333,06 Jan 2021
Taylor Swift,dorothea,0.0,06 Jan 2021
Taylor Swift,happiness,0.7387666666666667,06 Jan 2021
Taylor Swift,happiness,2.20085,06 Jan 2021
Taylor Swift,Tim McGraw,3.9091,06 Jan 2021
Taylor Swift,Picture To Burn,0.00115,06 Jan 2021
Taylor Swift,Picture To Burn,0.24573333333333333,06 Jan 2021
Taylor Swift,Tim McGraw,0.029783333333333332,06 Jan 2021
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.411766666666667,06 Jan 2021
Taylor Swift,Cold As You,0.43175,06 Jan 2021
Taylor Swift,A Place in this World,3.32,06 Jan 2021
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",4.666666666666667,06 Jan 2021
Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",3.9755833333333332,06 Jan 2021
Taylor Swift,the 1,0.07431666666666667,06 Jan 2021
Taylor Swift,willow,3.2925833333333334,07 Jan 2021
Taylor Swift,evermore (feat. Bon Iver),1.97755,07 Jan 2021
Taylor Swift,All Too Well,0.11725,07 Jan 2021
Taylor Swift,Red,3.7182166666666667,07 Jan 2021
Taylor Swift,happiness,0.37888333333333335,07 Jan 2021
Taylor Swift,coney island (feat. The National),4.588666666666667,07 Jan 2021
Taylor Swift,exile (feat. Bon Iver),4.760566666666667,07 Jan 2021
Taylor Swift,cardigan,3.9926666666666666,07 Jan 2021
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.18653333333333333,07 Jan 2021
Taylor Swift,Daylight,0.0027,07 Jan 2021
Taylor Swift,the 1,3.0877333333333334,07 Jan 2021
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.216666666666667,07 Jan 2021
Taylor Swift,You Need To Calm Down,2.856,07 Jan 2021
Taylor Swift,Death By A Thousand Cuts,0.6893333333333334,07 Jan 2021
Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",1.3583666666666667,07 Jan 2021
