,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
0,Abject,sunk to or existing in a low state or condition,cast down in spirit,expressing or offered in a humble and often ingratiating spirit,very bad or severe,"low in spirit, strength, or hope","base, humble, menial, servile, slavish","arrogant, haughty, high-handed, imperious, lordly, supercilious, superior, uppity","mean, ignoble, abject, sordid mean being below the normal standards of human decency and dignity

mean suggests small-mindedness, ill temper, or cupidity
mean and petty satire

ignoble suggests a loss or lack of some essential high quality of mind or spirit
an ignoble scramble after material possessions

abject may imply degradation, debasement, or servility
abject poverty

sordid is stronger than all of these in stressing physical or spiritual degradation and abjectness
a sordid story of murder and revenge",first,"mean, ignoble, abject, sordid mean being below the normal standards of human decency and dignity<br><br>mean suggests small-mindedness, ill temper, or cupidity<br>mean and petty satire<br><br>ignoble suggests a loss or lack of some essential high quality of mind or spirit<br>an ignoble scramble after material possessions<br><br>abject may imply degradation, debasement, or servility<br>abject poverty<br><br>sordid is stronger than all of these in stressing physical or spiritual degradation and abjectness<br>a sordid story of murder and revenge"
1,Acolyte,one who assists a member of the clergy in a liturgical service by performing minor duties,one who attends or assists a leader,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"adherent, convert, disciple, epigone, follower, liege man, partisan 
 (also partizan), pupil, votarist, votary","coryphaeus, leader",Oops! So Empty!,third,Oops! So Empty!
2,Adamant,a stone (such as a diamond) formerly believed to be of impenetrable hardness,an unbreakable or extremely hard substance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"adamantine, bullheaded, dogged, hard, hard-nosed, hardened, hardheaded, headstrong, immovable, implacable, inconvincible, inflexible, intransigent, mulish, obdurate, obstinate, opinionated, ossified, pat, pertinacious, perverse, pigheaded, self-opinionated, self-willed, stiff-necked, stubborn, unbending, uncompromising, unrelenting, unyielding, willful 
 (or wilful)","acquiescent, agreeable, amenable, compliant, complying, flexible, pliable, pliant, relenting, yielding","inflexible, obdurate, adamant mean unwilling to alter a predetermined course or purpose

inflexible implies rigid adherence or even servile conformity to principle
inflexible in their demands

obdurate stresses hardness of heart and insensitivity to appeals for mercy or the influence of divine grace
obdurate in his refusal to grant clemency

adamant implies utter immovability in the face of all temptation or entreaty
adamant that the work should continue",first,"inflexible, obdurate, adamant mean unwilling to alter a predetermined course or purpose<br><br>inflexible implies rigid adherence or even servile conformity to principle<br>inflexible in their demands<br><br>obdurate stresses hardness of heart and insensitivity to appeals for mercy or the influence of divine grace<br>obdurate in his refusal to grant clemency<br><br>adamant implies utter immovability in the face of all temptation or entreaty<br>adamant that the work should continue"
3,Addendum,a thing added,a supplement to a book,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"afterword, appendix, codicil, excursus, supplement","foreword, introduction, preface, prologue 
 (also prolog)",Oops! So Empty!,first,Oops! So Empty!
4,Adultery,voluntary sexual intercourse between a married person and someone other than that person's current spouse or partner,sex between a married person and someone who is not that person's wife or husband,voluntary sexual activity (as sexual intercourse) between a married man and someone other than his wife or between a married woman and someone other than her husband,Oops! So Empty!,Oops! So Empty!,"cheating, infidelity, misconduct, two-timing, unfaithfulness","faithfulness, fidelity",Oops! So Empty!,third,Oops! So Empty!
5,Aisle,a passage (as in a theater or railroad passenger car) separating sections of seats,the side of a church nave separated by piers from the nave proper,a passage between sections of seats (as in a church or theater),a passage between shelves (as in a supermarket),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
6,Alcove,a small recessed section of a room,summerhouse sense 2,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"belvedere, casino, gazebo, kiosk, pavilion, summerhouse","belvedere, casino, gazebo, kiosk, pavilion, summerhouse",Oops! So Empty!,third,Oops! So Empty!
7,Amorous,strongly moved by love and especially sexual love,being in love,indicative of love,Oops! So Empty!,Oops! So Empty!,"amatory, aphrodisiac 
 (also aphrodisiacal), erogenous, erotic 
 (also erotical), erotogenic, sexy, steamy","nonerotic, unerotic, unsexy",Oops! So Empty!,first,Oops! So Empty!
8,Anon,after a while,"soon, presently",at once,Oops! So Empty!,Oops! So Empty!,"before long, by and by, directly, momentarily, presently, shortly, soon","before long, by and by, directly, momentarily, presently, shortly, soon",Oops! So Empty!,third,Oops! So Empty!
9,Antsy,"restless, fidgety","nervous, apprehensive",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aflutter, anxious, atwitter, dithery, edgy, goosey, het up, hinky 
[slang], hung up, ill at ease, insecure, jittery, jumpy, nervous, nervy, perturbed, queasy 
 (also queazy), tense, troubled, uneasy, unquiet, upset, uptight, worried","calm, collected, cool, easy, happy-go-lucky, nerveless, relaxed",Oops! So Empty!,third,Oops! So Empty!
10,Apostate,one who commits apostasy,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"defector, deserter, recreant, renegade",loyalist,Oops! So Empty!,third,Oops! So Empty!
11,Aptly,in an apt manner,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
12,Ardor,an often restless or transitory warmth of feeling,warmth of feeling,sexual excitement,great eagerness,Oops! So Empty!,"ardency, emotion, enthusiasm, fervency, fervidness, fervor, fire, heat, intenseness, intensity, passion, passionateness, vehemence, violence, warmth, white heat","impassiveness, impassivity, insensibility, insensibleness, insensitiveness, insensitivity","passion, fervor, ardor, enthusiasm, zeal mean intense emotion compelling action

passion applies to an emotion that is deeply stirring or ungovernable
gave in to his passions

fervor implies a warm and steady emotion
read the poem aloud with great fervor

ardor suggests warm and excited feeling likely to be fitful or short-lived
the ardor of their honeymoon soon faded

enthusiasm applies to lively or eager interest in or admiration for a proposal, cause, or activity
never showed much enthusiasm for sports

zeal implies energetic and unflagging pursuit of an aim or devotion to a cause
preaches with fanatical zeal",first,"passion, fervor, ardor, enthusiasm, zeal mean intense emotion compelling action<br><br>passion applies to an emotion that is deeply stirring or ungovernable<br>gave in to his passions<br><br>fervor implies a warm and steady emotion<br>read the poem aloud with great fervor<br><br>ardor suggests warm and excited feeling likely to be fitful or short-lived<br>the ardor of their honeymoon soon faded<br><br>enthusiasm applies to lively or eager interest in or admiration for a proposal, cause, or activity<br>never showed much enthusiasm for sports<br><br>zeal implies energetic and unflagging pursuit of an aim or devotion to a cause<br>preaches with fanatical zeal"
13,Armistice,temporary stopping of open acts of warfare by agreement between the opponents,an agreement to stop fighting a war,a pause in fighting brought about by agreement between the two sides,Oops! So Empty!,Oops! So Empty!,"cease-fire, truce","cease-fire, truce",Oops! So Empty!,second,Oops! So Empty!
14,Articulate,"expressing oneself readily, clearly, and effectively",consisting of segments united by joints,to give clear and effective utterance to,to unite by or as if by means of a joint,to utter clear and understandable sounds,"eloquent, fluent, silver-tongued, well-spoken","inarticulate, ineloquent, unvocal",Oops! So Empty!,third,Oops! So Empty!
15,Asphalt,a dark bituminous substance that is found in natural beds and is also obtained as a residue in petroleum refining and that consists chiefly of hydrocarbons,an asphaltic composition used for pavements and as a waterproof cement,a dark-colored substance obtained from natural deposits in the earth or from petroleum,any of various materials made of asphalt that are used for pavements and as a waterproof cement,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
16,Astutely,having or showing shrewdness and an ability to notice and understand things clearly,very alert and aware,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"canny, clear-eyed, clear-sighted, hard-boiled, hardheaded, heady, knowing, savvy, sharp, sharp-witted, shrewd, smart",unknowing,"shrewd, sagacious, perspicacious, astute mean acute in perception and sound in judgment

shrewd stresses practical, hardheaded cleverness and judgment
a shrewd judge of character

sagacious suggests wisdom, penetration, and farsightedness
sagacious investors got in on the ground floor

perspicacious implies unusual power to see through and understand what is puzzling or hidden
a perspicacious counselor saw through the child's facade

astute suggests shrewdness, perspicacity, and diplomatic skill
an astute player of party politics",first,"shrewd, sagacious, perspicacious, astute mean acute in perception and sound in judgment<br><br>shrewd stresses practical, hardheaded cleverness and judgment<br>a shrewd judge of character<br><br>sagacious suggests wisdom, penetration, and farsightedness<br>sagacious investors got in on the ground floor<br><br>perspicacious implies unusual power to see through and understand what is puzzling or hidden<br>a perspicacious counselor saw through the child's facade<br><br>astute suggests shrewdness, perspicacity, and diplomatic skill<br>an astute player of party politics"
17,Atrocity,"a shockingly bad or atrocious act, object, or situation",the quality or state of being atrocious,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"atrociousness, awfulness, dreadfulness, frightfulness, ghastliness, grisliness, gruesomeness, hideousness, horridness, horror, monstrosity, repulsiveness","atrociousness, awfulness, dreadfulness, frightfulness, ghastliness, grisliness, gruesomeness, hideousness, horridness, horror, monstrosity, repulsiveness",Oops! So Empty!,first,Oops! So Empty!
18,Attired,the antlers or antlers and scalp of a stag or buck,"dress, clothes",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apparel, array, bedeck, caparison, clothe, costume, deck (out), do up, dress, dress up, enrobe, garb, garment, get up, gown, habit, invest, rig (out), robe, suit, tog (up or out), toilet, vesture","disarray, disrobe, strip, unclothe, undress, untruss 
[archaic]",Oops! So Empty!,first,Oops! So Empty!
19,Auditory,marked by great susceptibility to impressions and reactions produced by acoustic stimuli,"attained, experienced, or produced through or as if through hearing",of or relating to hearing,audience,auditorium,"acoustic 
 (or acoustical), audial, audile, aural, auricular",nonauditory,Oops! So Empty!,first,Oops! So Empty!
20,Auspicious,showing or suggesting that future success is likely,attended by good auspices,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bright, encouraging, fair, golden, heartening, hopeful, likely, optimistic, promising, propitious, rose-colored, roseate, rosy, upbeat","bleak, dark, depressing, desperate, discouraging, disheartening, dismal, downbeat, dreary, gloomy, hopeless, inauspicious, pessimistic, unencouraging, unlikely, unpromising, unpropitious","favorable, auspicious, propitious mean pointing toward a happy outcome

favorable implies that the persons involved are approving or helpful or that the circumstances are advantageous
favorable weather conditions

auspicious applies to something taken as a sign or omen promising success before or at the start of an event
an auspicious beginning

propitious may also apply to beginnings but often implies a continuing favorable condition
a propitious time for starting a business",first,"favorable, auspicious, propitious mean pointing toward a happy outcome<br><br>favorable implies that the persons involved are approving or helpful or that the circumstances are advantageous<br>favorable weather conditions<br><br>auspicious applies to something taken as a sign or omen promising success before or at the start of an event<br>an auspicious beginning<br><br>propitious may also apply to beginnings but often implies a continuing favorable condition<br>a propitious time for starting a business"
21,Austere,having the flavor of acid or tannin predominant over fruit flavors usually indicating a capacity for aging,stern and cold in appearance or manner,giving little or no scope for pleasure,markedly simple or unadorned,morally strict,"authoritarian, flinty, hard, harsh, heavy-handed, ramrod, rigid, rigorous, severe, stern, strict, tough","clement, forbearing, gentle, indulgent, lax, lenient, tolerant","severe, stern, austere, ascetic mean given to or marked by strict discipline and firm restraint

severe implies standards enforced without indulgence or laxity and may suggest harshness
severe military discipline

stern stresses inflexibility and inexorability of temper or character
stern arbiters of public morality

austere stresses absence of warmth, color, or feeling and may apply to rigorous restraint, simplicity, or self-denial
living an austere life in the country

ascetic implies abstention from pleasure and comfort or self-indulgence as spiritual discipline
the ascetic life of the monks",third,"severe, stern, austere, ascetic mean given to or marked by strict discipline and firm restraint<br><br>severe implies standards enforced without indulgence or laxity and may suggest harshness<br>severe military discipline<br><br>stern stresses inflexibility and inexorability of temper or character<br>stern arbiters of public morality<br><br>austere stresses absence of warmth, color, or feeling and may apply to rigorous restraint, simplicity, or self-denial<br>living an austere life in the country<br><br>ascetic implies abstention from pleasure and comfort or self-indulgence as spiritual discipline<br>the ascetic life of the monks"
22,Awry,off the correct or expected course,in a turned or twisted position or direction,turned or twisted to one side,out of the right course,Oops! So Empty!,"askew, aslant, atilt, cock-a-hoop, cockeyed, crazy, crooked, listing, lopsided, oblique, off-kilter, pitched, skewed, slanted, slanting, slantwise, tilted, tipping, uneven","even, level, straight",Oops! So Empty!,first,Oops! So Empty!
23,Balked,to refuse abruptly,to stop short and refuse to proceed,to commit a balk (see balk entry 2 sense 1),to check or stop by or as if by an obstacle,to pass over or by,"baffle, beat, checkmate, discomfit, foil, frustrate, thwart","advance, cultivate, encourage, forward, foster, further, nurture, promote","frustrate, thwart, foil, baffle, balk mean to check or defeat another's plan or block achievement of a goal

frustrate implies making vain or ineffectual all efforts however vigorous or persistent
frustrated attempts at government reform

thwart suggests frustration or checking by crossing or opposing
the army thwarted his attempt at a coup

foil implies checking or defeating so as to discourage further effort
foiled by her parents, he stopped trying to see her

baffle implies frustration by confusing or puzzling
baffled by the maze of rules and regulations

balk suggests the interposing of obstacles or hindrances
officials felt that legal restrictions had balked their efforts to control crime",first,"frustrate, thwart, foil, baffle, balk mean to check or defeat another's plan or block achievement of a goal<br><br>frustrate implies making vain or ineffectual all efforts however vigorous or persistent<br>frustrated attempts at government reform<br><br>thwart suggests frustration or checking by crossing or opposing<br>the army thwarted his attempt at a coup<br><br>foil implies checking or defeating so as to discourage further effort<br>foiled by her parents, he stopped trying to see her<br><br>baffle implies frustration by confusing or puzzling<br>baffled by the maze of rules and regulations<br><br>balk suggests the interposing of obstacles or hindrances<br>officials felt that legal restrictions had balked their efforts to control crime"
24,Beatific,"of, possessing, or imparting beatitude",having a blissful appearance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
