Word,Meaning,Priorty
Abject,(Of Something Bad) Experienced Or Present To The Maximum Degree,first
Acolyte,A Person Assisting A Priest In A Religious Service Or Procession.,third
Adamant,Refusing To Be Persuaded Or To Change One'S Mind,first
Addendum,An Item Of Additional Material Added At The End Of A Book Or Other Publication,first
Adultery,Voluntary Sexual Intercourse Between A Married Person And A Person Who Is Not Their Spouse,third
Aisle,"A Passage Between Rows Of Seats In A Building Such As A Church Or Theatre, An Aircraft,
                                Or Train",first
Alcove,A Small Place In The Wall Of A Room Or Garden,third
Amorous,"Showing, Feeling, Or Relating To Sexual Desire",first
Anon,Soon; Shortly.,third
Antsy,"Informal•North American
                    Agitated, Impatient, Or Restless",third
Apostate,A Person Who Renounces A Religious Or Political Belief Or Principle,third
Aptly,"Appropriate Or Suitable In The Circumstances
                                    Having A Tendency To Do Something",first
Ardor,Great Enthusiasm Or Passion,first
Armistice,"Noun
                                An Agreement Made By Opposing Sides In A War To Stop Fighting For A Certain Time; A
                                Truce.",second
Articulate,Having Or Showing The Ability To Speak Fluently And Coherently.,third
Asphalt,"A Mixture Of Dark Bituminous Pitch With Sand Or Gravel, Used For Surfacing Roads,
                                Flooring, Roofing Etc.",first
Astutely,"Having Or Showing An Ability To Accurately Assess Situations Or People And Turn
                                        This To One'S Advantage",first
Atrocity,"An Extremely Wicked Or Cruel Act, Typically One Involving Physical Violence Or
                                        Injury",first
Attired,"Clothes, Especially Fine Or Formal Ones",first
Auditory,Relating To The Sense Of Hearing,first
Auspicious,Conducive To Success; Favourable,first
Austere,Severe Or Strict In Manner Or Attitude,third
Awry,Away From The Usual Or Expected Course; Amiss,first
Balked,Hesitate Or Be Unwilling To Accept An Idea Or Undertaking,first
Beatific,Feeling Or Expressing Blissful Happiness,third
Beget,"(Especially Of A Man) Bring (A Child) Into Existence By The Process Of Reproduction

            Cause; Bring About.",third
Belabor,"Argue Or Discuss (A Subject) In Excessive Detail

                                Attack (Someone) Physically Or Verbally",first
Berserk,Out Of Control With Anger Or Excitement; Wild Or Frenzied.,third
Bestir,Make A Physical Or Mental Effort; Exert Or Rouse Oneself,third
Bevy,A Large Group Of People Or Things Of A Particular Kind,third
Bilious,Affected By Or Associated With Nausea Or Vomiting,third
Blatant,(Of Bad Behaviour) Done Openly And Unashamedly,first
Blight,"A Plant Disease, Typically One Caused By Fungi Such As Mildews, Rusts, And Smuts",third
Bristle,"A Short, Stiff Hair On An Animal'S Skin Or A Man'S Face",third
